vehicle_id,start_ts,end_ts,ignition_state,level_diff
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-01 08:07:03.039000+05:30,2023-01-01 08:27:19.002000+05:30,ignitionon,8.299999999999997
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-01 08:33:21.002000+05:30,2023-01-01 09:23:03.029000+05:30,ignitionoff,14.899999999999991
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-01 09:23:03.029000+05:30,2023-01-01 09:56:55.002000+05:30,ignitionon,11.0
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-01 16:20:11.002000+05:30,2023-01-01 17:19:25.011000+05:30,ignitionoff,48.2
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-02 06:46:56.900000+05:30,2023-01-02 07:45:11.029000+05:30,ignitionoff,49.400000000000006
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-02 07:52:04.002000+05:30,2023-01-02 08:17:07.011000+05:30,ignitionoff,10.200000000000003
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-02 08:20:29.002000+05:30,2023-01-02 08:47:07.011000+05:30,ignitionoff,7.900000000000006
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-04 11:53:14.002000+05:30,2023-01-04 12:53:54.002000+05:30,ignitionoff,47.0
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-06 05:36:12.002000+05:30,2023-01-06 06:40:23.028000+05:30,ignitionoff,51.3
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-06 06:53:30.002000+05:30,2023-01-06 07:51:58.041000+05:30,ignitionoff,23.19999999999999
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-06 11:41:30.011000+05:30,2023-01-06 11:49:49.002000+05:30,ignitionon,7.099999999999994
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-06 11:49:49.002000+05:30,2023-01-06 12:45:07.020000+05:30,ignitionoff,32.900000000000006
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-07 11:12:07.002000+05:30,2023-01-07 11:37:10.011000+05:30,ignitionoff,28.299999999999997
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-07 11:39:09.002000+05:30,2023-01-07 12:41:42.040000+05:30,ignitionoff,41.10000000000001
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-07 12:51:30.002000+05:30,2023-01-07 13:08:09.011000+05:30,ignitionoff,5.099999999999994
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-10 07:34:44.200000+05:30,2023-01-10 08:31:30.010000+05:30,ignitionoff,27.900000000000006
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-10 08:38:53.039000+05:30,2023-01-10 09:03:18.002000+05:30,ignitionoff,7.900000000000006
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-11 03:04:33.002000+05:30,2023-01-11 04:10:16.020000+05:30,ignitionoff,25.39999999999999
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-11 11:12:14.020000+05:30,2023-01-11 11:19:05.002000+05:30,ignitionon,5.5
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-11 11:19:05.002000+05:30,2023-01-11 11:26:40.029000+05:30,ignitionoff,9.5
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-11 12:05:41.002000+05:30,2023-01-11 12:51:59.029000+05:30,ignitionoff,52.10000000000001
